SiteName,Latitude,Longitude,Num of Nests,Num Breeding Birds,Actual Bird Count,Year,Month,County,State,Count Type,Incidental Obs?,Nesting,nestStat
Ambler Spring,41.905218,-106.049253,10,20,,2005,"",Albany,WY,Nests,No,Yes,4
Cokeville Meadows NWR,41.924071,-110.990207,15,30,,2006,"",Lincoln,WY,Pairs,No,Yes,4
Tule Lake NWR,41.92861111,-121.5069444,594,1188,,2016,"",Siskiyou,CA,Pairs,No,Yes,6
Quinn River,41.93956,-117.725305,75,150,,2010,"",Humboldt,NV,Pairs,No,Yes,5
Quinn River,41.953392,-117.72557,40,80,,2010,"",Humboldt,NV,Pairs,No,Yes,5
Quinn River,41.981998,-117.768458,40,80,,2010,"",Humboldt,NV,Pairs,No,Yes,5
Lower Klamath NWR,41.98749922,-121.7372991,3878,7756,,2015,"",Siskiyou,CA,Pairs,No,Yes,6
Duck Valley,42.09002,-116.134197,7631,15262,,2010,"",Owyhee,ID,Nests,No,Yes,5
Goose Lake,42.1043,-120.3676,3004,6008,,2010,"",Lake,OR,Pairs,No,Yes,5
Twenty-mile Slough,42.13611111,-119.8838889,1128,2256,,2010,"",Lake,OR,Pairs,No,Yes,5
Greaser Reservoir,42.1481,-119.8303,22,44,,2010,"",Lake,OR,Pairs,No,Yes,5
Bear Lake NWR,42.14883,-111.2950882,9577,19154,,2010,"",Bear Lake,ID,Nests,No,Yes,5
Old Eden Reservoir,42.213162,-109.364222,1,2,3,2000,"",Sweetwater,WY,Adults,No,Yes,3
Oxford Slough WPA,42.25039,-112.0019836,4741,9482,,2010,"",Franklin,ID,"",No,Yes,5
Crump Lake,42.2712,-119.8551,60,120,,2010,"",Lake,OR,Pairs,No,Yes,5
Hart Lake,42.44722222,-119.8719444,11,22,,1988,"",Lake,OR,Nests,No,Yes,1
Smokey Lake,42.4476,-121.368,100,200,,2003,"",Klamath,OR,Pairs,No,Yes,3
Anderson Lake,42.50527778,-119.8261111,20,40,,1987,"",Lake,OR,Pairs,No,Yes,1
Hawkins Reservoir,42.51312,-112.337431,,9,,1993,"",Bannock,ID,Adults,Yes,,0
Chewaucan Marshes,42.5587,-120.3841,200,400,,1998,"",Lake,OR,Pairs,No,Yes,2
Chester Hill Reservoir,42.69563,-111.6138013,,8,8,1993,"",Caribou,ID,Adults,Yes,,0
Lake Abert,42.69583333,-120.2788889,10,20,,1994,"",Lake,OR,Adults,No,Yes,1
Sycan Marsh,42.83611111,-121.065,30,60,,2010,"",Lake,OR,Pairs,No,Yes,5
Knox Pond,42.8825,-118.8611111,500,1000,,2009,"",Harney,OR,Pairs,No,Yes,4
Faye Field,42.89027778,-118.8861111,340,680,,1988,"",Harney,OR,Pairs,No,Yes,1
Blackfoot Reservoir,42.90993,-111.6204183,,20,20,1993,"",Caribou,ID,Adults,No,,0
Summer Lake WMA,42.92138889,-120.7761111,30,60,,1995,"",Lake,OR,Pairs,No,Yes,2
Schoolhouse Lake,42.95277778,-120.7138889,1,2,,1994,"",Lake,OR,,No,Yes,1
Sterling WMA,42.976963,-112.782963,,26,26,2007,August,Bingham,ID,"",No,,0
Grays Lake NWR,43.00889,-111.426543,6037,12074,,2010,"",Bonneville,ID,Nests,No,Yes,5
American Falls Reservoir,43.02687,-112.6435812,15,30,,1995,"",Bingham,ID,Pairs,No,Yes,2
Diamond Swamp,43.03333333,-118.7938889,1729,3458,,2010,"",Harney,OR,Pairs,No,Yes,5
Retherford Lake,43.05833333,-118.7930556,1500,3000,,1998,"",Harney,OR,Pairs,No,Yes,2
Lava Swamp,43.06722222,-118.8288889,1100,2200,,1995,"",Harney,OR,Pairs,No,Yes,2
Silver Lake Lake Co,43.1217,-120.9295,350,700,,1999,"",Lake,OR,Pairs,No,Yes,2
Paulina Marsh,43.1551,-120.9788,75,150,,1998,"",Lake,OR,Pairs,No,Yes,2
Ibis Pond,43.20666667,-118.905,5419,10838,,2010,"",Harney,OR,Pairs,No,Yes,5
Wrights Pond,43.225,-118.8780556,60,120,,2010,"",Harney,OR,Pairs,No,Yes,5
Sodhouse Bay,43.24472222,-118.8730556,110,220,,1985,"",Harney,OR,Nests,No,Yes,1
Blitzen River,43.291542,-118.8199273,234,468,,2010,"",Harney,OR,Pairs,No,Yes,5
Warbler Pond,43.30527778,-119.3030556,1605,3210,,2010,"",Harney,OR,Pairs,No,Yes,5
Silver Lake,43.37388889,-119.3780556,180,360,,1989,"",Harney,OR,Pairs,No,Yes,1
Red-S,43.4175,-118.9088889,230,460,,1985,"",Harney,OR,Nests,No,Yes,1
Squarewell Slough,43.44138889,-118.84,500,1000,,1985,"",Harney,OR,Nests,No,Yes,1
Island Ranch,43.45972222,-118.9388889,800,1600,,1987,"",Harney,OR,Pairs,No,Yes,1
Nine-Mile Slough,43.47222222,-118.6969444,95,190,,1989,"",Harney,OR,Nests,No,Yes,1
Silvies River,43.56805556,-119.0344444,45,90,,2010,"",Harney,OR,Pairs,No,Yes,5
Market Lake WMA,43.79011,-112.1615369,12250,24500,,2010,"",Jefferson,ID,Nests,No,Yes,5
Fort Boise WMA,43.817288,-117.00133,,2,2,2007,"",Canyon,ID,Adults,No,,0
Mud Lake WMA,43.89228,-112.454048,4016,8032,,2010,"",Jefferson,ID,Nests,No,Yes,5
Camas NWR,43.93804,-112.2643843,56,112,,1995,"",Jefferson,ID,Pairs,No,Yes,2
Red Rock Lakes NWR,44.63749,-111.840605,195,390,,2010,"",Beaverhead,MT,Nests,No,Yes,5
Dailey Lake,45.26296,-110.81626,,7,7,2006,"",Park,MT,Adults,Yes,,0
Willow Creek Reservoir,45.684042,-111.710739,,1,1,1991,"",Madison,MT,Adults,Yes,,0
Grass Lake NWR,45.8974,-109.1,,1,1,1991,"",Stillwater,MT,Adults,Yes,,0
Cottonwood Reservoir,46.0384,-110.69073,,1,1,1995,"",Park,MT,Adults,Yes,,0
Spidel WPA,46.13717,-108.85596,,5,5,1996,"",Golden Valley,MT,Adults,Yes,,0
Warm Springs WMA,46.18597,-112.80396,,1,1,1997,"",Deer Lodge,MT,Adults,Yes,,0
Warm Springs WMA,46.1975,-112.7754,,29,29,2007,"",Deer Lodge,MT,Adults,Yes,,0
Canyon Ferry WMA,46.35817,-111.52088,,18,18,2000,"",Broadwater,MT,Adults,Yes,,0
Lee Metcalf NWR,46.54234,-114.08167,,1,1,1987,"",Ravalli,MT,Adults,Yes,,0
Lake Helena WMA,46.70239,-111.96322,,15,15,2008,"",Lewis and Clark,MT,Adults,Yes,,0
Browns Lake,46.951106,-113.016845,,10,10,1995,"",Powell,MT,Adults,Yes,,0
Kleinschmidt Lake,46.9746,-113.04274,,7,7,2002,"",Powell,MT,Adults,Yes,,0
Upper Carter Pond FAS,47.153244,-109.425143,,3,3,2012,"",Fergus,MT,Adults,Yes,,0
Ninepipe NWR,47.436792,-114.127469,,12,12,1999,"",Lake,MT,Adults,Yes,,0
Kicking Horse Reservoir,47.455083,-114.069563,,1,1,2007,"",Lake,MT,Adults,Yes,,0
Pablo NWR,47.644665,-114.170265,,1,1,2005,"",Lake,MT,Adults,Yes,,0
Freezeout Lake,47.66257,-112.04601,10,20,20,2003,"",Teton,MT,Pairs,No,Yes,3
Benton Lake NWR,47.670001,-111.329999,10,20,20,2010,"",Cascade,MT,Pairs,No,Yes,5
Wild Horse Reservoir,48.12381,-108.17002,8,16,16,2016,"",Phillips,MT,Nests,No,Yes,6
Manning Lake,48.27249,-104.74924,20,40,40,2016,"",Roosevelt,MT,Nests,No,Yes,6
Manning Lake,48.272495,-104.749238,10,20,,2011,"",Roosevelt,MT,Nests,No,Yes,5
Bowdoin NWR,48.373459,-107.679346,181,362,,2016,"",Phillips,MT,Nests,No,Yes,6
Homestead Lake,48.378478,-104.577667,3,6,6,2010,"",Sheridan,MT,Nests,No,Yes,5
Medicine Lake NWR,48.37848,-104.57767,7,14,14,2014,"",Roosevelt,MT,Nests,No,Yes,5
Medicine Lake NWR,48.38785,-104.577667,,1,1,1988,"",Sheridan,MT,Adults,Yes,,0
Nelson Reservoir,48.48538,-107.57585,,1,1,2003,"",Phillips,MT,Adults,Yes,,0
Quinn River,,,10,20,,2010,"",Humboldt,NV,Pairs,No,Yes,5
