siteName,Latitude,Longitude,STUSPS
Mason Valley WMA,39.090336999999998,-119.097121999999999,NV
Quinn River Lakes,41.512808000000000,-118.152006000000000,NV
Quinn River,41.448791999999997,-117.500499000000005,NV
Quinn River,41.484608999999999,-117.507757999999995,NV
Quinn River,41.939560000000000,-117.725305000000006,NV
Quinn River,41.953392000000001,-117.725570000000005,NV
Quinn River,41.981997999999997,-117.768457999999995,NV
Railroad Valley,38.539099999999998,-115.735600000000005,NV
Ruby Lake NWR,40.197490999999999,-115.479245000000006,NV
Rye Patch Reservoir,40.570604000000003,-118.304659000000001,NV
Spring Valley,39.455770000000001,-114.495397999999994,NV
Stillwater NWR,39.625869000000002,-118.519698000000005,NV
Swan Lake,39.653888000000002,-119.840468999999999,NV
Washoe Lake,39.281238999999999,-119.793004999999994,NV
Secret Soldier,40.902366000000001,-115.364125999999999,NV
Rock Creek,41.198265999999997,-116.704147000000006,NV
Retherford Lake,43.058333330000004,-118.793055600000002,OR
Nine-Mile Slough,43.472222219999999,-118.696944400000007,OR
Diamond Swamp,43.033333329999998,-118.793888899999999,OR
Anderson Lake,42.505277780000000,-119.826111100000006,OR
Summer Lake WMA,42.921388890000003,-120.776111099999994,OR
Sycan Marsh,42.836111109999997,-121.064999999999998,OR
Knox Pond,42.882500000000000,-118.861111100000002,OR
Silver Lake,43.373888890000003,-119.378055599999996,OR
Hart Lake,42.447222220000000,-119.871944400000004,OR
Red-S,43.417499999999997,-118.908888899999994,OR
Warbler Pond,43.305277779999997,-119.303055599999993,OR
Lake Abert,42.695833329999999,-120.278888899999998,OR
Ibis Pond,43.206666669999997,-118.905000000000001,OR
Faye Field,42.890277779999998,-118.886111099999994,OR
Twenty-mile Slough,42.136111110000002,-119.883888900000002,OR
Island Ranch,43.459722220000003,-118.938888899999995,OR
Sodhouse Bay,43.244722220000000,-118.873055600000001,OR
Schoolhouse Lake,42.952777779999998,-120.713888900000001,OR
Squarewell Slough,43.441388889999999,-118.840000000000003,OR
Wrights Pond,43.225000000000001,-118.878055599999996,OR
Lava Swamp,43.067222219999998,-118.828888899999995,OR
Greaser Reservoir,42.148099999999999,-119.830299999999994,OR
Silver Lake Lake Co,43.121699999999997,-120.929500000000004,OR
Chewaucan Marshes,42.558700000000002,-120.384100000000004,OR
Crump Lake,42.271200000000000,-119.855099999999993,OR
Goose Lake,42.104300000000002,-120.367599999999996,OR
Malheur Lake,43.291542000000000,-118.819927300000003,OR
Silvies River,43.568055559999998,-119.034444399999998,OR
Paulina Marsh,43.155099999999997,-120.978800000000007,OR
Smokey Lake,42.447600000000001,-121.367999999999995,OR
Bear River Bay,41.395918000000002,-112.230712999999994,UT
Bear River Club,41.499040999999998,-112.231804999999994,UT
Bear River MBR,41.485881999999997,-112.327198999999993,UT
Chesapeake Club,41.485191000000000,-112.170890000000000,UT
Cutler Marsh,41.758282999999999,-111.939667000000000,UT
Farmington Bay WMA,40.882655999999997,-112.013221000000001,UT
Fish Springs NWR,39.852173000000001,-113.373091000000002,UT
Harold Crane WMA,41.345571000000000,-112.164749999999998,UT
Harrison Duck Club,40.833333330000002,-112.041666699999993,UT
Knudsons Marsh,41.485950000000003,-112.097673999999998,UT
Layton Wetlands,41.027647999999999,-112.027775000000005,UT
Ogden Bay WMA,41.178333000000002,-112.194999999999993,UT
Ouray NWR,40.158940000000001,-109.588483999999994,UT
Reeder Overflow,41.437437000000003,-112.094945999999993,UT
South Corrine,41.527068000000000,-112.120065999999994,UT
South Willard Bay,41.322778000000000,-112.159166999999997,UT
Utah Lake,40.031377999999997,-111.888606999999993,UT
Bear River MBR,41.487828000000000,-112.321692999999996,UT
Public Shooting Grounds WMA,41.579441000000003,-112.316794000000002,UT
Ambler Spring,41.905217999999998,-106.049252999999993,WY
Bamforth Lake,41.389994000000002,-105.738911000000002,WY
Caldwell Lake,41.154980999999999,-105.793460999999994,WY
Carroll Lake,41.413978999999998,-105.717883999999998,WY
Cokeville Meadows NWR,41.924070999999998,-110.990206999999998,WY
Hutton Lake NWR,41.178730999999999,-105.725694000000004,WY
Old Eden Reservoir,42.213161999999997,-109.364221999999998,WY
Pilger Lake,41.375171999999999,-105.830833999999996,WY
Medicine Lake NWR,48.501592000000002,-104.316174000000004,MT
